architecture,prompt,seed,model,mean_avg_word_frequency,mean_flesch_reading_ease,mean_wiener_sachtextformel,mean_total_sentences,mean_long_sentences_din,mean_long_words_din,mean_passive_sentences,mean_genitive_cases,mean_subjunctive_moods,mean_abbreviations,mean_long_compounds,mean_complex_noun_phrases,mean_bert_precision,mean_bert_recall,mean_bert_f1
three-node,one-shot,seeded,llama3.3_70b,5.434,78.07785,5.926,10.965,3.71,4.88,0,0.225,0.105,0,0.815,2.895,0.818810904920101,0.844853413105011,0.831214903891087
three-node,one-shot,seeded,mistral_7b-instruct,4.67095,74.03355,7.4364,6.98,2.91,3.045,0,0.075,0.2,0,0.41,1.4,0.812018549740315,0.842193621695042,0.82645898193121
three-node,one-shot,seeded,mixtral_8x7b,5.012,73.44265,7.1425,8.615,3.645,4.15,0,0.17,1.765,0,0.55,3.455,0.800036147534847,0.838979966342449,0.818669393658638
three-node,one-shot,seeded,mixtral_8x22b,5.4029,78.6328,6.2961,7.61,3.74,3.905,0,0.24,0.6,0.025,0.61,2.74,0.820217343866825,0.850079384148121,0.834530172944069
three-node,zero-shot,seeded,finetuned-mistral,5.12905,70.45685,7.5274,3.785,1.455,1.62,0,0.135,0.1,0,0.25,0.88,0.825687013566494,0.841053830087185,0.832952419817448
three-node,zero-shot,seeded,llama3.1_8b,5.00285,70.51685,8.3349,6.925,2.235,3.595,0,0.125,0.16,0,0.46,1.38,0.819401488006115,0.845057935118675,0.831671018600464
three-node,zero-shot,seeded,llama3.3_70b,5.34265,77.1857,6.45185,12.535,3.56,5.515,0,0.21,0.34,0,0.715,3.4,0.82345924705267,0.847275299727917,0.834791001975536
three-node,zero-shot,seeded,mistral_7b-instruct,4.57115,71.24355,7.8848,7.74,3.105,3.52,0,0.105,0.095,0,0.285,1.56,0.81277047097683,0.842393927872181,0.826995718479157
three-node,zero-shot,seeded,mixtral_8x7b,4.91,66.10535,8.36055,9.45,3.505,4.505,0,0.14,1.595,0,0.76,3.68,0.796613477170467,0.834323490262032,0.814690281748772
three-node,zero-shot,seeded,mixtral_8x22b,5.1406,79.3489,6.0613,8.46,3.395,3.365,0,0.165,1.12,0.07,0.385,2.505,0.820296821594238,0.848203400373459,0.833600699305534
three-node,zero-shot,autoseed,finetuned-mistral,5.24425,70.34285,7.55925,4.23,1.43,1.855,0,0.07,0.115,0,0.28,0.955,0.827228093743324,0.842078300714493,0.834258986413479
three-node,zero-shot,autoseed,llama3.1_8b,5.045,70.44075,8.0259,5.545,1.855,2.965,0,0.095,0.42,0,0.42,1.325,0.830850988030434,0.845151849985123,0.837546316087246
three-node,zero-shot,autoseed,llama3.3_70b,5.26415,75.147,6.5803,8.605,2.835,3.91,0,0.13,1,0,0.505,2.3,0.829367635846138,0.849068215787411,0.838674381971359
three-node,zero-shot,autoseed,mistral_7b-instruct,3.98495,81.53535,5.3385,7.185,2.63,1.5,0,0.02,0.065,0,0.03,1.135,0.808468956053257,0.838482325971127,0.822861160039902
three-node,zero-shot,autoseed,mixtral_8x7b,4.8369,76.49855,6.432,8.16,3.355,3.325,0,0.1,1.655,0,0.42,3.295,0.810945949852467,0.843103240132332,0.826320335566998
three-node,zero-shot,autoseed,mixtral_8x22b,4.45695,85.4131,4.38565,10.03,3.625,2.425,0,0.02,0.145,0.01,0.055,1.545,0.822688573002815,0.847071421146393,0.834330609440804
three-node,few-shot,autoseed,finetuned-mistral,5.32765,76.2338,5.45145,4.31,1.535,1.64,0,0.03,0.01,0,0.255,0.9,0.780794590711594,0.807212271094322,0.793507110774517
three-node,few-shot,autoseed,llama3.1_8b,5.18385,69.98205,7.5486,6.52,2.755,3.6,0,0.155,0.07,0,0.4,1.28,0.812546072304249,0.839996349215508,0.825712656080723
three-node,few-shot,autoseed,llama3.3_70b,5.423,75.23085,6.3054,10.145,4.625,5.12,0,0.24,0.05,0,0.9,2.305,0.821475958228111,0.847208676934242,0.833795636594296
three-node,few-shot,autoseed,mistral_7b-instruct,4.2621,80.4619,5.92305,8.835,3.145,2.4,0,0.03,0.095,0,0.06,1.195,0.810699011683464,0.841334451436997,0.825412855446339
three-node,few-shot,autoseed,mixtral_8x7b,4.8226,78.0724,6.05575,8.315,3.855,3.11,0,0.1,0.535,0,0.315,1.88,0.806879734694958,0.844099469780922,0.824691468477249
three-node,few-shot,autoseed,mixtral_8x22b,5.1294,80.17925,5.21295,9.335,4.26,3.655,0,0.185,0.14,0.01,0.35,1.845,0.819991472363472,0.846772369742393,0.832827941477299
three-node,few-shot,seeded,finetuned-mistral,4.91865,75.10895,5.9292,3.83,1.265,1.525,0,0.045,0.05,0,0.185,0.815,0.774572768807411,0.798968968391419,0.786171079874039
three-node,few-shot,seeded,llama3.1_8b,5.139,71.34195,7.3556,8.96,3.38,4.325,0,0.18,0.06,0,0.58,1.69,0.794919851124287,0.838999583125115,0.815931347310543
three-node,few-shot,seeded,llama3.3_70b,5.4425,78.16975,5.9615,10.645,3.255,4.22,0,0.185,0.06,0,0.61,2.39,0.818385579586029,0.844902884960175,0.831067124307156
three-node,few-shot,seeded,mistral_7b-instruct,4.6893,65.5789,8.93535,6.815,2.265,3.255,0,0.07,0.065,0,0.28,1.375,0.813288581371307,0.839052922129631,0.825601954162121
three-node,few-shot,seeded,mixtral_8x7b,5.0053,70.2902,7.69175,7.73,3.185,3.8,0,0.185,0.485,0,0.38,2.42,0.801983674764633,0.840681935548782,0.820483599305153
three-node,few-shot,seeded,mixtral_8x22b,5.3185,77.35295,6.274,7.05,3.27,3.165,0,0.175,0.075,0.05,0.44,1.845,0.818939541578293,0.847221808433533,0.832490264475346
single-node,zero-shot,autoseed,finetuned-mistral,5.20547738693467,73.485175879397,7.11592964824121,3.61306532663317,1.22613065326633,1.39195979899497,0,0.0603015075376884,0.0804020100502513,0,0.14070351758794,0.819095477386935,0.817125754739771,0.8318131829626,0.824102732104872
